index;TravelPrice;allerdepart;allerarrivee;retourdepart;retourarrivee;allercompanie;retourcompanie;allertimetravel;retourtimetravel;allerescale;retourescales;allerdeparth;allerarriveeh;retourdeparth;retourarriveeh
0;108,97;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;07:30;09:35;14:30;16:35
1;109,37;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Transavia France;· Transavia France;2 h 05 min;2 h 05 min;direct;direct;14:50;16:55;16:50;18:55
2;108,97;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;07:30;09:35;16:35;18:40
3;126,37;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;07:30;09:35;11:35;13:40
4;127,33;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;10:15;12:20;14:30;16:35
5;127,33;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;10:15;12:20;16:35;18:40
6;108,97;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;07:30;09:35;18:05;20:10
7;129,25;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;12:40;14:45;11:35;13:40
8;112,56;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;14:25;16:30;16:35;18:40
9;127,33;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;17:20;19:25;18:05;20:10
10;112,56;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;14:25;16:30;18:05;20:10
11;127,33;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;17:20;19:25;16:35;18:40
12;112,56;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;12:40;14:45;16:35;18:40
13;129,25;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;14:25;16:30;11:35;13:40
14;127,33;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;10:15;12:20;18:05;20:10
15;112,56;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;14:25;16:30;14:30;16:35
16;102,69;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;07:30;09:35;20:10;22:15
17;112,56;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;12:40;14:45;14:30;16:35
18;69,25;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Ryanair;· Ryanair;12 h 05 min;14 h 00 min;1 escale;1 escale;10:10;22:15;21:45;11:45
19;136,93;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;10:15;12:20;11:35;13:40
20;131,35;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 15 min;2 h 10 min;direct;direct;11:40;13:55;19:55;22:05
21;105,38;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;14:25;16:30;20:10;22:15
22;112,56;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;12:40;14:45;18:05;20:10
23;142,70;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;19:25;21:30;18:05;20:10
24;127,33;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;17:20;19:25;14:30;16:35
25;148,63;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 10 min;direct;direct;10:15;12:20;19:55;22:05
26;142,70;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;19:25;21:30;16:35;18:40
27;105,38;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;12:40;14:45;20:10;22:15
28;137,99;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 10 min;direct;direct;12:40;14:45;19:55;22:05
